====================================
args:  Namespace(batch_size=50, encoder_layer=3, decoder_layer=4, d_layer=3, hidden_dim=32, noise_dim=15, dropout=0, opt='adam', seed=7777, data_dir='./datasets/Dataset_Dynamic_Trend_Preserve/County/train_test/', data_name='county_increasing_and_trough', opt_scheduler='step', opt_decay_step=80, opt_decay_rate=0.8, weight_decay=0, lr=0.001, epochs=500, ad_loss_weight=20, experiment_name='DT-VAE-GAN_county_increasing_and_trough', parent_dir='./experiments', dis_recon_loss_weight=0.8, recon_loss_weight=1.0)
====================================
[INFO] Using dataset: county_increasing_and_trough, Using device: cuda:0, Using seed: 7777
====================================
0, reconstruction_loss: 84.8621 kl_div: 4.5529, bce loss: 95.7924
1, reconstruction_loss: 80.9669 kl_div: 2.6836, bce loss: 92.1652
2, reconstruction_loss: 77.1129 kl_div: 1.5120, bce loss: 91.6986
3, reconstruction_loss: 72.7283 kl_div: 0.7732, bce loss: 91.2727
4, reconstruction_loss: 64.6436 kl_div: 0.3847, bce loss: 90.5840
5, reconstruction_loss: 52.0997 kl_div: 0.1984, bce loss: 90.0399
6, reconstruction_loss: 40.4105 kl_div: 0.1121, bce loss: 89.4050
7, reconstruction_loss: 32.3881 kl_div: 0.0715, bce loss: 88.1804
8, reconstruction_loss: 28.2127 kl_div: 0.0553, bce loss: 86.5186
9, reconstruction_loss: 24.0590 kl_div: 0.0820, bce loss: 84.9131
10, reconstruction_loss: 20.5659 kl_div: 0.0528, bce loss: 83.9055
11, reconstruction_loss: 17.1172 kl_div: 0.0545, bce loss: 83.4301
12, reconstruction_loss: 16.9679 kl_div: 0.0534, bce loss: 82.4778
13, reconstruction_loss: 13.7358 kl_div: 0.1287, bce loss: 82.4721
14, reconstruction_loss: 10.8751 kl_div: 0.5202, bce loss: 82.0230
15, reconstruction_loss: 5.1020 kl_div: 1.9504, bce loss: 82.2177
16, reconstruction_loss: 0.9272 kl_div: 3.0728, bce loss: 82.4086
17, reconstruction_loss: -3.7321 kl_div: 3.3328, bce loss: 82.7034
18, reconstruction_loss: -11.1314 kl_div: 3.6338, bce loss: 81.8476
19, reconstruction_loss: -20.7485 kl_div: 4.6729, bce loss: 82.7113
20, reconstruction_loss: -29.4319 kl_div: 4.4738, bce loss: 82.1227
21, reconstruction_loss: -39.8737 kl_div: 4.8876, bce loss: 82.3819
22, reconstruction_loss: -41.7218 kl_div: 5.2563, bce loss: 82.1375
23, reconstruction_loss: -46.4661 kl_div: 6.4632, bce loss: 82.6237
24, reconstruction_loss: -49.7175 kl_div: 6.9169, bce loss: 81.7832
25, reconstruction_loss: -54.7064 kl_div: 7.2182, bce loss: 82.3998
26, reconstruction_loss: -59.4764 kl_div: 7.4267, bce loss: 81.5235
27, reconstruction_loss: -61.4663 kl_div: 7.2764, bce loss: 82.3929
28, reconstruction_loss: -63.1933 kl_div: 8.0290, bce loss: 81.7798
29, reconstruction_loss: -62.9178 kl_div: 8.6381, bce loss: 82.0802
30, reconstruction_loss: -68.4664 kl_div: 8.1461, bce loss: 82.6066
31, reconstruction_loss: -67.8032 kl_div: 8.3600, bce loss: 82.2599
32, reconstruction_loss: -70.6898 kl_div: 9.0675, bce loss: 82.0595
33, reconstruction_loss: -69.8597 kl_div: 9.7131, bce loss: 81.8509
34, reconstruction_loss: -72.3548 kl_div: 9.5713, bce loss: 82.1815
35, reconstruction_loss: -72.5450 kl_div: 8.9357, bce loss: 81.9837
36, reconstruction_loss: -76.8609 kl_div: 9.9874, bce loss: 81.8312
37, reconstruction_loss: -75.4126 kl_div: 10.4666, bce loss: 81.8035
38, reconstruction_loss: -78.7241 kl_div: 10.6502, bce loss: 81.9313
39, reconstruction_loss: -77.0812 kl_div: 10.2133, bce loss: 81.2889
40, reconstruction_loss: -77.7278 kl_div: 10.2971, bce loss: 82.8219
41, reconstruction_loss: -76.7454 kl_div: 10.8532, bce loss: 81.3228
42, reconstruction_loss: -78.4809 kl_div: 10.7731, bce loss: 81.7881
43, reconstruction_loss: -80.7669 kl_div: 10.3817, bce loss: 82.1715
44, reconstruction_loss: -82.6831 kl_div: 9.9693, bce loss: 81.4472
45, reconstruction_loss: -84.6453 kl_div: 10.4495, bce loss: 81.3285
46, reconstruction_loss: -80.3248 kl_div: 11.2449, bce loss: 81.4371
47, reconstruction_loss: -83.1096 kl_div: 10.6135, bce loss: 81.7107
48, reconstruction_loss: -80.8155 kl_div: 10.7969, bce loss: 81.5318
49, reconstruction_loss: -83.6055 kl_div: 11.0700, bce loss: 81.8539
50, reconstruction_loss: -84.4411 kl_div: 11.3371, bce loss: 81.2183
51, reconstruction_loss: -84.9397 kl_div: 11.2858, bce loss: 81.3539
52, reconstruction_loss: -83.9999 kl_div: 11.6023, bce loss: 81.5370
53, reconstruction_loss: -85.2134 kl_div: 12.3241, bce loss: 81.0009
54, reconstruction_loss: -85.5936 kl_div: 11.7720, bce loss: 81.8413
55, reconstruction_loss: -88.7623 kl_div: 11.5421, bce loss: 81.9987
56, reconstruction_loss: -91.0593 kl_div: 11.7763, bce loss: 82.1923
57, reconstruction_loss: -88.3797 kl_div: 12.5645, bce loss: 81.9998
58, reconstruction_loss: -86.3603 kl_div: 12.5658, bce loss: 81.9431
59, reconstruction_loss: -85.5789 kl_div: 11.5306, bce loss: 81.9643
60, reconstruction_loss: -87.5107 kl_div: 12.1360, bce loss: 81.6705
61, reconstruction_loss: -87.7330 kl_div: 13.8644, bce loss: 82.5521
62, reconstruction_loss: -87.9192 kl_div: 12.0398, bce loss: 81.0225
63, reconstruction_loss: -86.4633 kl_div: 12.5256, bce loss: 82.5423
64, reconstruction_loss: -89.4761 kl_div: 12.1687, bce loss: 81.6372
65, reconstruction_loss: -90.2335 kl_div: 12.1485, bce loss: 81.3414
66, reconstruction_loss: -88.1773 kl_div: 12.3913, bce loss: 83.5626
67, reconstruction_loss: -89.9164 kl_div: 12.6220, bce loss: 82.7901
68, reconstruction_loss: -89.6246 kl_div: 12.6365, bce loss: 82.7397
69, reconstruction_loss: -92.5335 kl_div: 12.4427, bce loss: 82.6409
70, reconstruction_loss: -90.5483 kl_div: 12.8591, bce loss: 83.0172
